# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.716666666500000105e+00
-8.378110881783439046e-02,2.466923332178082795e+00,1.716666666500000105e+00
2.010746611628025260e+00,3.772941566860597007e+00,1.716666666500000105e+00
-1.675622176356687809e-01,4.933846664356165590e+00,1.716666666500000105e+00
1.926965502810191078e+00,6.239864899038679802e+00,1.716666666500000105e+00
4.021493223256050520e+00,7.545883133721194014e+00,1.716666666500000105e+00
-2.345871046899362877e+00,6.094751761851733285e+00,1.716666666500000105e+00
-2.513433264535031575e-01,7.400769996534248385e+00,1.716666666500000105e+00
1.843184393992355785e+00,8.706788231216762597e+00,1.716666666500000105e+00
3.937712114438214783e+00,1.001280646589927770e+01,1.716666666500000105e+00
6.032239834884076224e+00,1.131882470058179102e+01,1.716666666500000105e+00
-2.429652155717196393e+00,8.561675094029816080e+00,1.716666666500000105e+00
-3.351244352713375618e-01,9.867693328712331180e+00,1.716666666500000105e+00
1.759403285174521603e+00,1.117371156339484450e+01,1.716666666500000105e+00
3.853931005620382155e+00,1.247972979807735960e+01,1.716666666500000105e+00
5.948458726066242264e+00,1.378574803275987470e+01,1.716666666500000105e+00
8.042986446512101040e+00,1.509176626744238803e+01,1.716666666500000105e+00
-4.607960984980890018e+00,9.722580191525384663e+00,1.716666666500000105e+00
-2.513433264535030798e+00,1.102859842620789799e+01,1.716666666500000105e+00
-4.189055440891719106e-01,1.233461666089041309e+01,1.716666666500000105e+00
1.675622176356688975e+00,1.364063489557292641e+01,1.716666666500000105e+00
3.770149896802547751e+00,1.494665313025544329e+01,1.716666666500000105e+00
5.864677617248407415e+00,1.625267136493795661e+01,1.716666666500000105e+00
7.959205337694266191e+00,1.755868959962047171e+01,1.716666666500000105e+00
1.005373305814012497e+01,1.886470783430298326e+01,1.716666666500000105e+00
-4.691742093798725755e+00,1.218950352370346657e+01,1.716666666500000105e+00
-2.597214373352866978e+00,1.349552175838597989e+01,1.716666666500000105e+00
-5.026866529070063150e-01,1.480153999306849677e+01,1.716666666500000105e+00
1.591841067538852794e+00,1.610755822775101365e+01,1.716666666500000105e+00
3.686368787984711570e+00,1.741357646243352519e+01,1.716666666500000105e+00
5.780896508430571679e+00,1.871959469711604029e+01,1.716666666500000105e+00
7.875424228876429567e+00,2.002561293179855539e+01,1.716666666500000105e+00
9.969951949322288343e+00,2.133163116648107049e+01,1.716666666500000105e+00
