# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.800000000500000086e+00
-4.303225285529114347e-02,2.459623594214000342e+00,1.798663139354824470e+00
2.065548137053975442e+00,3.726702415475758645e+00,1.796021644037633092e+00
-8.606450571058228693e-02,4.919247188428000683e+00,1.794716780207895823e+00
2.022515884198683889e+00,6.186326009689759431e+00,1.790865864388724527e+00
4.131096274107950883e+00,7.453404830951517290e+00,1.784656349753032334e+00
-2.237677148475139877e+00,6.111791961380244942e+00,1.790865926570202271e+00
-1.290967585658734373e-01,7.378870782642001913e+00,1.788349827082190036e+00
1.979483631343393668e+00,8.645949603903758884e+00,1.783442688962963985e+00
4.088064021252661107e+00,9.913028425165515856e+00,1.776387687258933035e+00
6.196644411161925881e+00,1.118010724642727638e+01,1.767531791192784141e+00
-2.280709401330431874e+00,8.571415555594242619e+00,1.783443118248092762e+00
-1.721290114211645739e-01,9.838494376856001367e+00,1.779864793055968564e+00
1.936451378488102559e+00,1.110557319811776189e+01,1.774104152860427774e+00
4.045031768397367777e+00,1.237265201937951886e+01,1.766454219548732496e+00
6.153612158306634328e+00,1.363973084064127583e+01,1.757300928703451559e+00
8.262192548215901766e+00,1.490680966190303458e+01,1.747100290836277381e+00
-4.432322044094989977e+00,9.763960328546486878e+00,1.776388534003040531e+00
-2.323741654185722982e+00,1.103103914980824563e+01,1.774105778325202554e+00
-2.151612642764557382e-01,1.229811797107000437e+01,1.769660120277077642e+00
1.893419125632809674e+00,1.356519679233176312e+01,1.763286820150109513e+00
4.001999515542077113e+00,1.483227561359351832e+01,1.755321685911763296e+00
6.110579905451342775e+00,1.609935443485527884e+01,1.746180979048940207e+00
8.219160295360611102e+00,1.736643325611703048e+01,1.736336499156994284e+00
1.032774068526987854e+01,1.863351207737879278e+01,1.726287411319656684e+00
-4.475354296950279753e+00,1.222358392276048988e+01,1.766458010505071563e+00
-2.366773907041012315e+00,1.349066274402224686e+01,1.763291349495694549e+00
-2.581935171317468747e-01,1.475774156528400383e+01,1.758206995786037119e+00
1.850386872777520342e+00,1.602482038654575902e+01,1.751486370168738205e+00
3.958967262686787336e+00,1.729189920780751777e+01,1.743500097547106442e+00
6.067547652596053886e+00,1.855897802906927652e+01,1.734685501448301137e+00
8.176128042505322213e+00,1.982605685033103171e+01,1.725520039504836456e+00
1.028470843241458965e+01,2.109313567159279401e+01,1.716492354161303968e+00
1.239328882232385176e+01,2.236021449285455276e+01,1.708072762979103043e+00
-6.626966939714836968e+00,1.341612869571273059e+01,1.757305395339709975e+00
-4.518386549805570418e+00,1.468320751697448934e+01,1.755332598564353974e+00
-2.409806159896305200e+00,1.595028633823624453e+01,1.751496781200906128e+00
-3.012257699870379835e-01,1.721736515949800150e+01,1.746022110498701929e+00
1.807354619922229233e+00,1.848444398075976025e+01,1.739228975303191982e+00
3.915935009831496227e+00,1.975152280202151900e+01,1.731514248284545143e+00
6.024515399740762334e+00,2.101860162328328130e+01,1.723326760177952277e+00
8.133095789650031548e+00,2.228568044454503649e+01,1.715139538184705881e+00
1.024167617955929366e+01,2.355275926580679169e+01,1.707420566823975472e+00
1.235025656946855932e+01,2.481983808706855399e+01,1.700603923418424257e+00
1.445883695937782676e+01,2.608691690833030918e+01,1.695063116033153294e+00
-6.669999192570128521e+00,1.587575228992673182e+01,1.746197111962205284e+00
-4.561418802660863747e+00,1.714283111118848524e+01,1.743525192192554307e+00
-2.452838412751596309e+00,1.840990993245024399e+01,1.739249902749068655e+00
-3.442580228423291477e-01,1.967698875371200273e+01,1.733638058828224970e+00
1.764322367066938124e+00,2.094406757497376503e+01,1.727041253982328994e+00
3.872902756976205119e+00,2.221114639623552378e+01,1.719873762086318036e+00
5.981483146885471669e+00,2.347822521749727898e+01,1.712586410890923450e+00
8.090063536794735555e+00,2.474530403875903772e+01,1.705638089760673548e+00
1.019864392670400299e+01,2.601238286002079292e+01,1.699466706533415472e+00
1.230722431661326866e+01,2.727946168128255167e+01,1.694461444738503797e+00
1.441580470652253609e+01,2.854654050254431041e+01,1.690938090324414445e+00
1.652438509643180353e+01,2.981361932380606916e+01,1.689119001804096909e+00
-8.821611835334687512e+00,1.706829706287897253e+01,1.736351472678290930e+00
-6.713031445425420962e+00,1.833537588414072772e+01,1.734725298614838263e+00
-4.604451055516154412e+00,1.960245470540248647e+01,1.731564219486749545e+00
