# Rx, Ry, d
1.000000000000000021e-03,-1.000000000000000021e-03,1.705000000500000112e+00
-3.561133978706436387e-02,2.468313382686269541e+00,1.704885533957863020e+00
2.083705084226813664e+00,3.733391814660759866e+00,1.704656836756192950e+00
-7.722267957412873307e-02,4.934626765372539303e+00,1.704542605952662715e+00
2.043093744439749671e+00,6.199705197347029184e+00,1.705200384833515992e+00
4.164410168453627215e+00,7.468783629321519513e+00,1.704631584933063104e+00
-2.233150443375071514e+00,6.136861716084319518e+00,1.705200384844977934e+00
-1.128340193611930969e-01,7.401940148058809399e+00,1.704972628973180360e+00
2.006482404652684348e+00,8.668018580033299614e+00,1.704518058393451607e+00
4.126798828666562002e+00,9.933097012007788607e+00,1.704838550780655826e+00
6.247115252680441877e+00,1.119917544398227882e+01,1.704936910879558676e+00
-2.263761783162134833e+00,8.606175098770588505e+00,1.704518058473589059e+00
-1.474453591482574599e-01,9.873253530745078166e+00,1.705177949263958492e+00
1.972871064865620028e+00,1.113933196271957016e+01,1.704612665884192912e+00
4.093187488879499902e+00,1.240441039469405915e+01,1.704824548184587174e+00
6.216503912893378114e+00,1.366848882666855047e+01,1.703816855528903274e+00
8.330820336907255097e+00,1.493256725864304002e+01,1.703593750404597040e+00
-4.421689546963077255e+00,9.805410049482368606e+00,1.704838550940742214e+00
-2.301373122949199601e+00,1.107048848145685938e+01,1.704612666192810044e+00
-1.850566989353218394e-01,1.233856691343134848e+01,1.705161835014713745e+00
1.935259725078557480e+00,1.360364534540583747e+01,1.704487929850374561e+00
4.056576149092435024e+00,1.487272377738032958e+01,1.703593747710136608e+00
6.179892573106313236e+00,1.613580220935481790e+01,1.704482996105257886e+00
8.297208997120190332e+00,1.740388064132930879e+01,1.704160274391937513e+00
1.042052542113406766e+01,1.866695907330379711e+01,1.702631050624939801e+00
-4.455300886750142908e+00,1.227672343216863915e+01,1.704824548915118587e+00
-2.335984462736265588e+00,1.354180186414312814e+01,1.704487930728777467e+00
-2.186680387223861877e-01,1.480988029611761903e+01,1.703928459914375804e+00
1.900648385291491271e+00,1.607495872809210979e+01,1.704148468191163390e+00
4.023964809305368817e+00,1.733803716006659812e+01,1.704151203680905668e+00
6.142281233319247136e+00,1.860011559204108877e+01,1.703940814555833461e+00
8.265597657333124459e+00,1.986419402401557832e+01,1.702522328145121167e+00
1.038591408134700167e+01,2.112927245599006909e+01,1.702901625611983993e+00
1.251123050536088321e+01,2.239635088796455875e+01,1.703085412337259186e+00
-6.611228650551085551e+00,1.347895838288041936e+01,1.703816856406271452e+00
-4.491912226537207786e+00,1.474403681485490836e+01,1.703593749862830187e+00
-2.371595802523328356e+00,1.601011524682939680e+01,1.704148470262498938e+00
-2.512793785094505905e-01,1.727519367880388756e+01,1.704482882158019352e+00
1.868037045504426841e+00,1.854127211077837956e+01,1.703599770925201762e+00
3.988353469518304273e+00,1.980635054275286677e+01,1.703502828736056518e+00
6.111669893532182485e+00,2.106942897472735865e+01,1.703196635946017556e+00
8.234986317546059809e+00,2.233350740670184820e+01,1.702686637995100005e+00
1.035530274155994235e+01,2.359858583867634252e+01,1.702979117946949339e+00
1.248061916557382034e+01,2.485666427065083184e+01,1.702081164813161074e+00
1.460393558958769589e+01,2.612074270262532139e+01,1.702000637832878693e+00
-6.647839990338149541e+00,1.594727176556668269e+01,1.704482999356377926e+00
-4.527523566324269666e+00,1.721235019754117701e+01,1.704151208770567472e+00
-2.407207142310392456e+00,1.847742862951566423e+01,1.703599775215385304e+00
-2.838907182965149101e-01,1.974150706149015733e+01,1.703831019019364845e+00
1.834425705717362520e+00,2.101258549346464832e+01,1.702848172587133835e+00
3.957742129731240066e+00,2.227566392543914020e+01,1.702655364091518519e+00
6.081058553745118722e+00,2.353974235741363330e+01,1.703257596629448090e+00
8.205374977758999933e+00,2.480282078938811807e+01,1.702660722953526218e+00
1.032269140177287703e+01,2.606489922136261228e+01,1.701871415914917751e+00
1.245000782578675569e+01,2.732597765333710171e+01,1.701897134776241938e+00
1.457632424980063135e+01,2.858805608531159237e+01,1.700746087575332188e+00
1.670164067381450934e+01,2.984613451728607814e+01,1.701427189741910651e+00
-8.797767754139092844e+00,1.715050671627846768e+01,1.704160277487968056e+00
-6.681451330125212529e+00,1.841858514825295501e+01,1.703940822820005696e+00
-4.561134906111334431e+00,1.968366358022744578e+01,1.703502839202575281e+00
-2.437818482097457107e+00,2.094774201220193532e+01,1.702848180665361921e+00
-3.175020580835792861e-01,2.221282044417642965e+01,1.702979617125284006e+00
1.801814365930298090e+00,2.347789887615092042e+01,1.702900820403852933e+00
3.925130789944176080e+00,2.474197730812540641e+01,1.702616345664802022e+00
6.047447213958057510e+00,2.600205574009990173e+01,1.702131608371615368e+00
8.170763637971935722e+00,2.726513417207439005e+01,1.702452856888681643e+00
1.029908006198581205e+01,2.853021260404888082e+01,1.701587140873229265e+00
1.242239648599968938e+01,2.979329103602336914e+01,1.700542275627817235e+00
1.454971291001356626e+01,3.105536946799785980e+01,1.701326802604846700e+00
1.667802933402744614e+01,3.231144789997234312e+01,1.699949946275219670e+00
1.880534575804131947e+01,3.357252633194683256e+01,1.700421567592739214e+00
-8.831379093926154056e+00,1.962182009896473645e+01,1.702522338276526437e+00
-6.715062669912277293e+00,2.088989853093922378e+01,1.703196653428204144e+00
-4.591746245898399081e+00,2.215297696291371921e+01,1.702655383599937178e+00
-2.471429821884521427e+00,2.341905539488820764e+01,1.702900834541522634e+00
-3.481133978706436594e-01,2.468213382686269597e+01,1.702936218591793560e+00
1.775203026143234109e+00,2.594521225883719140e+01,1.702765638421226413e+00
3.895519450157114871e+00,2.721129069081167628e+01,1.702394066245199733e+00
6.018835874170993527e+00,2.847436912278617172e+01,1.701827318619548501e+00
8.143152298184869409e+00,2.973244755476065748e+01,1.701072026953825533e+00
1.027046872219874807e+01,3.099452598673514814e+01,1.701135603900727045e+00
1.239378514621262539e+01,3.225760441870963291e+01,1.701026205802297575e+00
1.452210157022650172e+01,3.351368285068412689e+01,1.699752691394732507e+00
1.664941799424038038e+01,3.477476128265861632e+01,1.700324576993659687e+00
1.877773441825425849e+01,3.603083971463310320e+01,1.699751988400671099e+00
2.091005084226813437e+01,3.729391814660758797e+01,1.699045609789412659e+00
-1.098730685772709670e+01,2.082505504967651433e+01,1.702901634044980295e+00
-8.863990433713217598e+00,2.208813348165100976e+01,1.702686661424647641e+00
-6.744674009699340722e+00,2.335321191362550053e+01,1.703257629578424970e+00
-4.624357585685462624e+00,2.461929034559998541e+01,1.702616379440954564e+00
-2.504041161671585414e+00,2.588436877757447974e+01,1.702765661767927874e+00
-3.787247376577080327e-01,2.715144720954896940e+01,1.701709123203170471e+00
1.744591686356173010e+00,2.841452564152346127e+01,1.702451287773723898e+00
3.867908110370050778e+00,2.967860407349795082e+01,1.701997533912324334e+00
5.991224534383928102e+00,3.094168250547243915e+01,1.701354067130765868e+00
8.116540958397806094e+00,3.219976093744692491e+01,1.700527888491062178e+00
1.024385738241168298e+01,3.346183936942141202e+01,1.700526759043935243e+00
1.237017380642556219e+01,3.472291780139590855e+01,1.700359160425848115e+00
1.449549023043943841e+01,3.598099623337039077e+01,1.700034251826450182e+00
1.662580665445331363e+01,3.724007466534488486e+01,1.699561823557790952e+00
1.875412307846719173e+01,3.849615309731937174e+01,1.698952247474882604e+00
2.088743950248107240e+01,3.975423152929386816e+01,1.699216424514055079e+00
2.301575592649495050e+01,4.101030996126835504e+01,1.698365729630952670e+00
-1.101591819751416423e+01,2.329736843236278787e+01,1.702979143347467694e+00
-8.898601773500285361e+00,2.455944686433727853e+01,1.702660768941631320e+00
