# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.705000000500000112e+00
-3.744535094923115426e-02,2.468427280965558079e+00,1.704856731478929355e+00
2.084028774030290077e+00,3.734447538156108859e+00,1.704570562975595394e+00
-7.219134316139014240e-02,4.937155203194030229e+00,1.705427663210983047e+00
2.049327440016879276e+00,6.201098110115375484e+00,1.704999702064448952e+00
4.166504130047944621e+00,7.467651059376372302e+00,1.705288889398355101e+00
-2.227825350269982518e+00,6.140383594174084969e+00,1.704999702089589286e+00
-1.078599851043470226e-01,7.404993167762110140e+00,1.704715007425892326e+00
2.012825464740601422e+00,8.670647399548865764e+00,1.705147091607761345e+00
4.130990188643366423e+00,9.936578340341936766e+00,1.705298892555324741e+00
6.253098288219103296e+00,1.119974453825701310e+01,1.704508127445626187e+00
-2.262559376353845852e+00,8.608644208472993498e+00,1.705147091783484781e+00
-1.425852513743321726e-01,9.872066389452191615e+00,1.704722434850943324e+00
1.977701480996374217e+00,1.113787532177732231e+01,1.705017122664930662e+00
4.098443555168336694e+00,1.240122891230122804e+01,1.704034813442263152e+00
6.219173663212017367e+00,1.366722844354960920e+01,1.703780596547996851e+00
8.340204412518572141e+00,1.493041536740682496e+01,1.704260960464775820e+00
-4.416181417334176018e+00,9.811941189908395700e+00,1.705298892906254027e+00
-2.296484001360951321e+00,1.107612811376561801e+01,1.705017123341390217e+00
-1.775425684518683600e-01,1.233991632014858375e+01,1.705121718753523696e+00
1.943122155450893063e+00,1.360689191914039498e+01,1.703615606806857974e+00
4.064474271962513541e+00,1.487054615092716858e+01,1.703503156209129843e+00
6.184871046672846262e+00,1.613303371604727587e+01,1.704123482543505430e+00
8.306202437242282244e+00,1.739669991396232263e+01,1.704483745178091425e+00
1.043004258762559111e+01,1.866126482935160169e+01,1.702592435497569001e+00
-4.453516725943792665e+00,1.228044582114316619e+01,1.704034815042964945e+00
-2.332652643303905204e+00,1.354367740319912095e+01,1.703615608731281705e+00
-2.133212527344706955e-01,1.480867693444751154e+01,1.703919369451822652e+00
1.909486205578393436e+00,1.607403052497139484e+01,1.703949739500411509e+00
4.030838322089993930e+00,1.733768475675816134e+01,1.703711786266906225e+00
6.151580396261947747e+00,1.860121698007699109e+01,1.704211970290851363e+00
8.274765846106900469e+00,1.986509450285745615e+01,1.703458104514398608e+00
1.039918334675939882e+01,2.112799275158005230e+01,1.703459305006091107e+00
1.252332413840558267e+01,2.238770360769385093e+01,1.702225933486420706e+00
-6.607260775392060026e+00,1.348526352852071142e+01,1.703780598469583074e+00
-4.487685367886752097e+00,1.474899511057666679e+01,1.703503160923429904e+00
-2.366943293714816487e+00,1.601252733389550542e+01,1.703949744035642366e+00
-2.433918184660855966e-01,1.727743754874641624e+01,1.704123260009682950e+00
1.876472264173801863e+00,1.854133579746904203e+01,1.704028054809030523e+00
3.998247030416214542e+00,1.980507934565327233e+01,1.702669880744417163e+00
6.123209189267465824e+00,2.106852225257463473e+01,1.703055860149574885e+00
8.243406605240691576e+00,2.233044443355383635e+01,1.703194440389422804e+00
1.036695808048939682e+01,2.359368798173805359e+01,1.702095340502895349e+00
1.249134288907145418e+01,2.485522020505689866e+01,1.701769489838867999e+00
1.461726038972396680e+01,2.611445499342726251e+01,1.701228959097430549e+00
-6.637408691392849391e+00,1.595282478408249993e+01,1.704123489659782997e+00
-4.519166617220903071e+00,1.721722303280514055e+01,1.703711797405855988e+00
-2.396891850978486449e+00,1.848067790585476189e+01,1.704028064195960646e+00
-2.748284096014866340e-01,1.974656418844911698e+01,1.704075910057467835e+00
1.843624989435882711e+00,2.100992974510128519e+01,1.702860371713790899e+00
3.967099114415424399e+00,2.227330726788173720e+01,1.703387870742072652e+00
6.091727939933345937e+00,2.353675017480309961e+01,1.702666172940720868e+00
8.213624714643669833e+00,2.479663966371184358e+01,1.701704339179790582e+00
1.033978623223201510e+01,2.605809453676148379e+01,1.701512668064520950e+00
1.246587039955120524e+01,2.732059406800987134e+01,1.701102630797392434e+00
1.458926717426155584e+01,2.858110556538654734e+01,1.701486798676495438e+00
1.671817270878575812e+01,2.984002774636573463e+01,1.699678763717437091e+00
-8.792852099578235325e+00,1.715858586713303779e+01,1.704483751950869319e+00
-6.671056607393654581e+00,1.842265078252232868e+01,1.704211988367497765e+00
-4.551513891958799185e+00,1.968552830530277475e+01,1.702669903633827309e+00
-2.428251091844688236e+00,2.095100390429459125e+01,1.702860389374949435e+00
-3.083870092047947820e-01,2.221292608527378931e+01,1.702787761404749078e+00
1.814676432172213083e+00,2.347741365039388484e+01,1.703457732415442294e+00
3.937772565619670484e+00,2.474260057425111725e+01,1.702544042437108329e+00
6.060836006996686898e+00,2.600211207162777782e+01,1.702055080643849472e+00
8.185964832514597944e+00,2.726362356900443729e+01,1.702000498808173168e+00
1.031130498289791575e+01,2.852632245898994867e+01,1.700724483428077916e+00
1.243717782535166805e+01,2.978521194789868431e+01,1.701239020271794411e+00
1.456487203501048633e+01,3.104492280401248294e+01,1.699557151802753241e+00
1.669406624466931177e+01,3.230394626751743914e+01,1.699692894661841480e+00
1.882177242045638721e+01,3.356096973102238934e+01,1.699661151094986167e+00
-8.827288690713606556e+00,1.962771250683573143e+01,1.703458126661053784e+00
-6.703302599605798662e+00,2.089033404655205217e+01,1.703055898358915243e+00
-4.582361166696728993e+00,2.215445558626834099e+01,1.703387913369396101e+00
-2.459265033249257826e+00,2.341964251012558051e+01,1.703457763296549743e+00
-3.358802246672004110e-01,2.468184140011108596e+01,1.703270445832327340e+00
1.784817191306011575e+00,2.594480823928902069e+01,1.701832333031688016e+00
3.908535333221403452e+00,2.720800712927451670e+01,1.702151130813922331e+00
6.033908175675164465e+00,2.846933999385622371e+01,1.702235829962545743e+00
8.157882300654692997e+00,2.973109550816875313e+01,1.701096648953419832e+00
1.028351112617261798e+01,3.099089568068002265e+01,1.700744968995817175e+00
1.241266067763269376e+01,3.225230589553093097e+01,1.700193261723552673e+00
1.453895616981726846e+01,3.351343940137552835e+01,1.700455010022754010e+00
1.666566234560436044e+01,3.476873081407292432e+01,1.699544622528930793e+00
1.879840997327577767e+01,3.602442094424455377e+01,1.699477342368479027e+00
2.092934819987044293e+01,3.728033436540986401e+01,1.699269150758286662e+00
-1.097514598881591574e+01,2.083277423114913063e+01,1.703459323426401939e+00
-8.854281906176032280e+00,2.209602974546166365e+01,1.703194491561825785e+00
-6.734039832004074633e+00,2.336076132751762202e+01,1.702666244890181035e+00
-4.612687715492473473e+00,2.462441555930438497e+01,1.702877449504188290e+00
-2.489246282583399417e+00,2.588782577415528507e+01,1.701832383977553320e+00
-3.666948073346572023e-01,2.715140265567287159e+01,1.701536712170125476e+00
1.757067992779450805e+00,2.841328017845334486e+01,1.701997447154840470e+00
3.879952801361502335e+00,2.967519039330424491e+01,1.701222906509111565e+00
6.007691669219046737e+00,3.093806791608469098e+01,1.701222659271599769e+00
8.132287802666517962e+00,3.219765676373054930e+01,1.701007464921505230e+00
1.025887196998569628e+01,3.345844497011352559e+01,1.699589204791306818e+00
1.238673284631118499e+01,3.471813510028515992e+01,1.699980806374847608e+00
1.451551637236745584e+01,3.597569125586056060e+01,1.700196161040453902e+00
1.664603194923131468e+01,3.723209271089759653e+01,1.699250035703120387e+00
1.877551483402472954e+01,3.849094950773587698e+01,1.699157979050305523e+00
