# Rx, Ry, d
0.000000000000000000e+00,-5.059610138265687680e-19,1.705000000500000112e+00
-3.626950176413799853e-02,2.472145999715980924e+00,1.704867434711229812e+00
2.081467220924058559e+00,3.737490954981222302e+00,1.704602619515996009e+00
-7.278900352834037635e-02,4.939370952858392450e+00,1.705470369885856430e+00
2.047074107534744059e+00,6.205988237223013293e+00,1.705074253023446396e+00
4.167166492655670851e+00,7.472249859154910467e+00,1.705416161382391493e+00
-2.227510932753067774e+00,6.143289625870153259e+00,1.705074253042605070e+00
-1.078695095264883691e-01,7.407502209696399831e+00,1.704810699958012377e+00
2.010483238565511588e+00,8.673036160727674471e+00,1.705284855639124686e+00
4.131018999359400645e+00,9.939086457794166662e+00,1.705499236571693222e+00
6.251304760153292506e+00,1.120358173369085897e+01,1.705457599224110110e+00
-2.264457464155001709e+00,8.611197591714452315e+00,1.705284855773052000e+00
-1.439053573258816110e-01,9.876898209412402707e+00,1.704891569211917313e+00
1.975085745269263837e+00,1.114059444720340508e+01,1.705238189560791540e+00
4.096015843630456565e+00,1.240600638976675363e+01,1.705161184518553696e+00
6.216106625594153279e+00,1.367110732809612905e+01,1.704164916716381262e+00
8.337075399089931338e+00,1.493413091615632027e+01,1.703754951645323201e+00
-4.418368389145778785e+00,9.813788914457042267e+00,1.705499236839181698e+00
-2.300049936281443497e+00,1.107911752368706004e+01,1.705238190076427962e+00
-1.787924876510638417e-01,1.234429581228560835e+01,1.704717353952999614e+00
1.941060260440912622e+00,1.361011843845148483e+01,1.703939236829445036e+00
4.062311726007151513e+00,1.487408700534185435e+01,1.703907583174666840e+00
6.181936803198515129e+00,1.613918196060707899e+01,1.703627351756498598e+00
8.304438268764753772e+00,1.740126217299429712e+01,1.704104686740915087e+00
1.042648439252971748e+01,1.866511909438785111e+01,1.703346881879353347e+00
-4.454544194605550622e+00,1.228246322633654053e+01,1.705161185738858221e+00
-2.332681083542466727e+00,1.354663713502819178e+01,1.703939238296622749e+00
-2.135903015787695980e-01,1.481194939822295176e+01,1.704293637007189277e+00
1.906845779846574329e+00,1.607729435348821667e+01,1.704394170283282106e+00
4.026631540640454254e+00,1.734025693731444662e+01,1.704245183327165902e+00
6.150104694043161402e+00,1.860587422167904137e+01,1.703852219456354566e+00
8.272167163843358040e+00,1.986875945523609843e+01,1.703221987759131251e+00
1.039457332994797234e+01,2.113230537239567752e+01,1.703362323947495094e+00
1.251936347064878952e+01,2.239429626838540344e+01,1.702282144650794748e+00
-6.608455119596317040e+00,1.348625390781622713e+01,1.704164918181556798e+00
-4.487431324930724941e+00,1.475081617101101727e+01,1.703907586769370042e+00
-2.367578576838731408e+00,1.601677277177310899e+01,1.704394173741697438e+00
-2.483984784775433996e-01,1.728066238523709330e+01,1.703627175206892552e+00
1.873480978620760240e+00,1.854506396482937092e+01,1.703610317595198653e+00
3.995399110853654623e+00,1.980852056559144714e+01,1.703848535915845730e+00
6.117689251554473628e+00,2.107184479491451512e+01,1.702847944930824253e+00
8.240857383787373536e+00,2.233541304117346726e+01,1.703115803424432029e+00
1.036418619962278775e+01,2.359795895833302026e+01,1.702160471790663321e+00
1.248858638266325549e+01,2.485949451252149700e+01,1.701991363202074004e+00
1.461290921543453614e+01,2.611911938310745995e+01,1.701285555330313004e+00
-6.641136908120224724e+00,1.595441785672468882e+01,1.703627357183734148e+00
-4.520668134624450829e+00,1.722006345325281274e+01,1.704245191822764793e+00
-2.400532694461995131e+00,1.848313169951173407e+01,1.703610324755203687e+00
-2.802752458316386530e-01,1.975017601351408914e+01,1.703725860065717468e+00
1.841049190096840649e+00,2.101320558463844890e+01,1.702596118617400789e+00
3.964333347733528967e+00,2.227654017693258837e+01,1.703226612787164029e+00
6.086901800597853018e+00,2.354093577346072053e+01,1.702624014206920888e+00
