# Rx, Ry, d
0.000000000000000000e+00,0.000000000000000000e+00,1.716666666500000105e+00
-4.317824064774201248e-02,2.467967917249721310e+00,1.716666666500000105e+00
2.072555551091616710e+00,3.739345329166244181e+00,1.716666666500000105e+00
-8.635648129548402496e-02,4.935935834499442620e+00,1.716666666500000105e+00
2.029377310443874816e+00,6.207313246415965047e+00,1.716666666500000105e+00
4.145111102183233420e+00,7.478690658332488361e+00,1.716666666500000105e+00
-2.245268513682585176e+00,6.132526339832639728e+00,1.716666666500000105e+00
-1.295347219432260166e-01,7.403903751749163931e+00,1.716666666500000105e+00
1.986199069796132033e+00,8.675281163665687245e+00,1.716666666500000105e+00
4.101932861535489749e+00,9.946658575582210560e+00,1.716666666500000105e+00
6.217666653274850574e+00,1.121803598749873210e+01,1.716666666500000105e+00
-2.288446754330326183e+00,8.600494257082363703e+00,1.716666666500000105e+00
-1.727129625909680499e-01,9.871871668998885241e+00,1.716666666500000105e+00
1.943020829148390138e+00,1.114324908091540678e+01,1.716666666500000105e+00
4.058754620887749631e+00,1.241462649283193009e+01,1.716666666500000105e+00
6.174488412627108680e+00,1.368600390474845341e+01,1.716666666500000105e+00
8.290222204366466840e+00,1.495738131666497672e+01,1.716666666500000105e+00
-4.447358786717426682e+00,9.797084762415559922e+00,1.716666666500000105e+00
-2.331624994978068077e+00,1.106846217433208324e+01,1.716666666500000105e+00
-2.158912032387100277e-01,1.233983958624860477e+01,1.716666666500000105e+00
1.899842588500649798e+00,1.361121699816512631e+01,1.716666666500000105e+00
4.015576380240007737e+00,1.488259441008165318e+01,1.716666666500000105e+00
6.131310171979366785e+00,1.615397182199817294e+01,1.716666666500000105e+00
8.247043963718724058e+00,1.742534923391470159e+01,1.716666666500000105e+00
1.036277775545808311e+01,1.869672664583121602e+01,1.716666666500000105e+00
-4.490537027365170353e+00,1.226505267966527946e+01,1.716666666500000105e+00
-2.374803235625811748e+00,1.353643009158180277e+01,1.716666666500000105e+00
-2.590694438864520333e-01,1.480780750349832786e+01,1.716666666500000105e+00
1.856664347852905905e+00,1.607918491541485295e+01,1.716666666500000105e+00
3.972398139592264066e+00,1.735056232733137449e+01,1.716666666500000105e+00
6.088131931331622226e+00,1.862193973924789603e+01,1.716666666500000105e+00
8.203865723070979499e+00,1.989331715116442112e+01,1.716666666500000105e+00
1.031959951481033855e+01,2.116469456308093910e+01,1.716666666500000105e+00
1.243533330654970115e+01,2.243607197499746420e+01,1.716666666500000105e+00
-6.649449059752270408e+00,1.346164318499847923e+01,1.716666666500000105e+00
-4.533715268012912247e+00,1.473302059691500254e+01,1.716666666500000105e+00
-2.417981476273552310e+00,1.600439800883152586e+01,1.716666666500000105e+00
-3.022476845341940943e-01,1.727577542074805095e+01,1.716666666500000105e+00
1.813486107205164011e+00,1.854715283266457249e+01,1.716666666500000105e+00
3.929219898944522171e+00,1.981853024458109402e+01,1.716666666500000105e+00
6.044953690683880332e+00,2.108990765649761556e+01,1.716666666500000105e+00
8.160687482423238492e+00,2.236128506841414065e+01,1.716666666500000105e+00
1.027642127416260109e+01,2.363266248033066574e+01,1.716666666500000105e+00
1.239215506590195837e+01,2.490403989224718728e+01,1.716666666500000105e+00
1.450788885764131741e+01,2.617541730416371237e+01,1.716666666500000105e+00
-6.692627300400012302e+00,1.592961110224819876e+01,1.716666666500000105e+00
-4.576893508660652365e+00,1.720098851416472741e+01,1.716666666500000105e+00
-2.461159716921294205e+00,1.847236592608124539e+01,1.716666666500000105e+00
-3.454259251819360999e-01,1.974374333799777048e+01,1.716666666500000105e+00
1.770307866557422116e+00,2.101512074991429202e+01,1.716666666500000105e+00
3.886041658296780277e+00,2.228649816183081356e+01,1.716666666500000105e+00
6.001775450036138437e+00,2.355787557374734220e+01,1.716666666500000105e+00
8.117509241775499262e+00,2.482925298566386019e+01,1.716666666500000105e+00
1.023324303351485831e+01,2.610063039758038528e+01,1.716666666500000105e+00
1.234897682525421736e+01,2.737200780949690682e+01,1.716666666500000105e+00
1.446471061699357463e+01,2.864338522141343191e+01,1.716666666500000105e+00
1.658044440873293368e+01,2.991476263332995345e+01,1.716666666500000105e+00
-8.851539332787112357e+00,1.712620160758140031e+01,1.716666666500000105e+00
-6.735805541047753309e+00,1.839757901949792185e+01,1.716666666500000105e+00
-4.620071749308394260e+00,1.966895643141444694e+01,1.716666666500000105e+00
-2.504337957569036099e+00,2.094033384333096492e+01,1.716666666500000105e+00
-3.886041658296780499e-01,2.221171125524749002e+01,1.716666666500000105e+00
1.727129625909680000e+00,2.348308866716401511e+01,1.716666666500000105e+00
3.842863417649038382e+00,2.475446607908053309e+01,1.716666666500000105e+00
5.958597209388400096e+00,2.602584349099706174e+01,1.716666666500000105e+00
8.074331001127758256e+00,2.729722090291358327e+01,1.716666666500000105e+00
