# Rx, Ry, d
2.000000000000000042e-03,-1.000000000000000021e-03,1.705000000500000112e+00
-3.469149230641925541e-02,2.466301878031366801e+00,1.704844677897287220e+00
2.084574892124372969e+00,3.733176022603912347e+00,1.704534467033800071e+00
-7.238298461283851348e-02,4.933603756062733048e+00,1.705379578413243724e+00
2.048883399817954309e+00,6.204477900635278154e+00,1.704915780049338858e+00
4.169149784248745938e+00,7.466352045207824695e+00,1.705145668604284515e+00
-2.227340861350050716e+00,6.138031489521553752e+00,1.704915780082692622e+00
-1.050744769192577810e-01,7.402905634094099518e+00,1.704607301087488036e+00
2.012191907511534428e+00,8.666779778666647616e+00,1.704992074541996416e+00
4.134458291942326724e+00,9.932653923239191940e+00,1.705073551754964223e+00
6.250724676373120126e+00,1.119652806781173737e+01,1.703856880354687631e+00
-2.260032353656469262e+00,8.607333367552920222e+00,1.704992074775100397e+00
-1.427659692256770252e-01,9.871207512125465655e+00,1.704532157920378710e+00
1.979500415205114994e+00,1.113608165669801231e+01,1.704768507311648529e+00
4.101766799635909067e+00,1.240195580127055663e+01,1.703705419021978917e+00
6.219033184066701025e+00,1.366582994584310384e+01,1.704348866638160098e+00
8.344299568497492103e+00,1.492870409041564983e+01,1.703706460502088627e+00
-4.414990230393680548e+00,9.811761101011741815e+00,1.705073552220427224e+00
-2.292723845962888252e+00,1.107663524558428492e+01,1.704768508208848621e+00
-1.754574615320962927e-01,1.234050939015683213e+01,1.705160144425435398e+00
1.946808922898697558e+00,1.360538353472937700e+01,1.704251899111723256e+00
4.067075307329489853e+00,1.486725767930192355e+01,1.704048900625264817e+00
6.186341691760281591e+00,1.613513182387446676e+01,1.703557932437227862e+00
8.309608076191073778e+00,1.739500596844701619e+01,1.703787386802487092e+00
1.043287446062186774e+01,1.865988011301955751e+01,1.702747207439360810e+00
-4.452681722700101652e+00,1.227906297904310584e+01,1.703705421144710019e+00
-2.332415338269309135e+00,1.354093712361565061e+01,1.704251901663591973e+00
-2.101489538385155620e-01,1.480681126818819848e+01,1.704498898703448173e+00
1.912117430592276790e+00,1.607168541276074691e+01,1.704450688063382291e+00
4.029383815023068749e+00,1.733555955733329412e+01,1.704113215365459011e+00
