# Rx, Ry, d
-1.445602896647339165e-19,1.445602896647339165e-19,1.705000000500000112e+00
-3.584607623751073779e-02,2.467157697917962356e+00,1.704607549468250438e+00
2.083486101779226995e+00,3.733080800787528020e+00,1.704825421176556555e+00
-7.204621175054441717e-02,4.933238045566739061e+00,1.705435738111786170e+00
2.046163957798278865e+00,6.200437857442614664e+00,1.705272217162158377e+00
4.165972203558442111e+00,7.466804335985147922e+00,1.705351350060050342e+00
-2.226923824741942948e+00,6.137416016288127274e+00,1.705272218016794739e+00
-1.104576721289806246e-01,7.402749802760214770e+00,1.704501096019495288e+00
2.009439890028667630e+00,8.667628247431034438e+00,1.704969850936893794e+00
4.131670785519637512e+00,9.934173358768529027e+00,1.703700296880420240e+00
6.253357022811891319e+00,1.119984047857394671e+01,1.703724687184063002e+00
-2.263257934851180764e+00,8.606817731141946481e+00,1.704969856895200309e+00
-1.447590901677681396e-01,9.873118825543580002e+00,1.703830855507330710e+00
1.977004497393652249e+00,1.113731863741944927e+01,1.703950718092058336e+00
4.097536034147523765e+00,1.240016439001982462e+01,1.704356423956021382e+00
6.217555604773100875e+00,1.366516484315857660e+01,1.703085094540569999e+00
8.340119833597402277e+00,1.493004328782941137e+01,1.703183353025057967e+00
-4.417257556310500988e+00,9.806897625651972206e+00,1.703700308748905101e+00
-2.298925378293754651e+00,1.107455277932910498e+01,1.703950740950412879e+00
-1.767511071298103753e-01,1.233988656580119425e+01,1.704462482244881061e+00
1.941503720617748785e+00,1.360261030993363818e+01,1.704257137175863468e+00
4.062901282775389866e+00,1.487026546361077095e+01,1.703366653617175208e+00
6.184831537003486979e+00,1.613468856648033523e+01,1.702832770421153219e+00
8.308839141500767411e+00,1.739542427674106406e+01,1.701706295317405138e+00
1.042858200312003980e+01,1.865823733727099309e+01,1.701046226338425171e+00
-4.452514316150561591e+00,1.227716536590958007e+01,1.704356477883393950e+00
-2.332783420659585882e+00,1.354233248571500248e+01,1.704257201925932108e+00
-2.118292341749116181e-01,1.480775558858456442e+01,1.703443030264361058e+00
1.908446319514803591e+00,1.607380069992205662e+01,1.702940620603091704e+00
4.029787257345421203e+00,1.733560179432368997e+01,1.702786655602456678e+00
6.151985460765942548e+00,1.859911421359073813e+01,1.702027206099218093e+00
8.277814432468282746e+00,1.986349265826155275e+01,1.700716931056472925e+00
1.040335472903601577e+01,2.112521640239399900e+01,1.700918128966851350e+00
1.252537429966159088e+01,2.238350873698176358e+01,1.699699658168241312e+00
-6.606725262475293903e+00,1.348234333663095441e+01,1.703085159028739026e+00
-4.487571717253508119e+00,1.474802242256466478e+01,1.703366811692534455e+00
-2.365507488429187344e+00,1.601152287570340960e+01,1.702940772412810277e+00
-2.456872765407297765e-01,1.727553529497045659e+01,1.702828333210882228e+00
1.878486994623216555e+00,1.853953574810921268e+01,1.702060989008789660e+00
3.998595881646272332e+00,1.980304816737625373e+01,1.701679889056514350e+00
6.121615452271828239e+00,2.106531656970743072e+01,1.700735119119876515e+00
8.246578398570385104e+00,2.232977236464745019e+01,1.701284827650568543e+00
1.037141933640100611e+01,2.359046341670944358e+01,1.700394212040103881e+00
1.249761433350712458e+01,2.485016643489972310e+01,1.699134383638350565e+00
1.462332129674151737e+01,2.610978013669254594e+01,1.698581132446541631e+00
-6.638961296373193655e+00,1.595262304301685496e+01,1.702833008013394211e+00
-4.518807751151383556e+00,1.721430212895056400e+01,1.702787027020391086e+00
-2.397698864128343654e+00,1.847996924875597813e+01,1.702061301334130583e+00
-2.765126268361029482e-01,1.974401436009347677e+01,1.701682046696990414e+00
1.846584294058661202e+00,2.100748212116177527e+01,1.701685345327344168e+00
3.968359847748376357e+00,2.227166120709548025e+01,1.701116513589040702e+00
6.093778135848187283e+00,2.353384029302918634e+01,1.701029306964469301e+00
8.219306466287633839e+00,2.479551937896289360e+01,1.700484976998123621e+00
1.034540338718240093e+01,2.605601107228777735e+01,1.698551197614110109e+00
1.247234240122436866e+01,2.731658011588184465e+01,1.699300880621678500e+00
1.459818333905499088e+01,2.857527116794383915e+01,1.697810902262437693e+00
1.672716701129570183e+01,2.983169747712782183e+01,1.697160764283267342e+00
-8.791639550627460054e+00,1.715572366346903621e+01,1.701706520275797052e+00
-6.670575321803141833e+00,1.842022411660778758e+01,1.702027805999291488e+00
-4.549531818920997672e+00,1.968415918560564748e+01,1.701680647366426768e+00
-2.430422931897952221e+00,2.094949297207772432e+01,1.701685928916611523e+00
-3.068052850610161753e-01,2.221174940828062816e+01,1.701074559350451487e+00
1.817502960699145076e+00,2.347518447727847857e+01,1.700886927443061580e+00
3.940766548260581814e+00,2.473894091348137536e+01,1.700172189405199319e+00
6.064607486091195376e+00,2.599996529887669894e+01,1.699987400854192865e+00
8.191481115992269579e+00,2.725862365886824890e+01,1.699396509437295810e+00
1.031864342102792342e+01,2.852233543687241024e+01,1.699469226730288440e+00
1.244708243506990186e+01,2.978252648893440480e+01,1.698279800265428241e+00
1.457109003956718851e+01,3.103861946478504663e+01,1.696905708383448896e+00
1.670263909594880758e+01,3.229533444910361339e+01,1.697426302019749755e+00
1.883306614386248867e+01,3.355365947576182606e+01,1.695921418498692601e+00
-8.824562977134180031e+00,1.962632473705998848e+01,1.700717661916369750e+00
-6.702222039303554091e+00,2.089028053199999491e+01,1.700736378430878881e+00
-4.579535802011322154e+00,2.215454893433117789e+01,1.701117915477730724e+00
-2.458349564719086278e+00,2.341859404566867298e+01,1.700887939964548012e+00
-3.345532850872046104e-01,2.468127313160238145e+01,1.700081792541168646e+00
1.787555601935853389e+00,2.594345221753609110e+01,1.699743860470482426e+00
3.914295257240704817e+00,2.720509861139934671e+01,1.699926788534274813e+00
6.038892178135469635e+00,2.846596829625628899e+01,1.698690542579258222e+00
8.165387816504471985e+00,2.972868007426046333e+01,1.698101343045497424e+00
1.029316016387977406e+01,3.098753779298911581e+01,1.698230488231413426e+00
1.242048913558209655e+01,3.224658611064102587e+01,1.697153089091285372e+00
1.455047280782280872e+01,3.350507780396589652e+01,1.696946738994366877e+00
1.667923318906983710e+01,3.476000411314988270e+01,1.695690143068768974e+00
1.881191622004766373e+01,3.601546311440429093e+01,1.695461732485805895e+00
2.094239989228837473e+01,3.727193408178700906e+01,1.695338289297907641e+00
-1.097280982184376974e+01,2.083130334904424430e+01,1.700918732927568788e+00
-8.853745593019455740e+00,2.209547046884966548e+01,1.701286504028242552e+00
-6.731014697528485691e+00,2.336063758865508433e+01,1.701031659910548832e+00
-4.609194485640028205e+00,2.462265000792211822e+01,1.700174594447159349e+00
-2.486808889610663709e+00,2.588695110232376351e+01,1.699745516469198803e+00
-3.616346184467200131e-01,2.714764215438574979e+01,1.699783910796178077e+00
1.761706319383890218e+00,2.841226461599243791e+01,1.699337831540892019e+00
3.887445974688766626e+00,2.967291100985569230e+01,1.699463040787652757e+00
6.015108279724413087e+00,3.093469137831516846e+01,1.698222008622602752e+00
8.141636610163871524e+00,3.219272772983877928e+01,1.697682793075676599e+00
1.026834357339827442e+01,3.345167476496492753e+01,1.696917820766558949e+00
1.239953857050439900e+01,3.471004444982187920e+01,1.697002590889843399e+00
1.452888826814888823e+01,3.596750345107630409e+01,1.696014326592913735e+00
1.665903860705626016e+01,3.722297441845901034e+01,1.695030598767307550e+00
1.879042099677120703e+01,3.847997807791217184e+01,1.695127947772314903e+00
2.092329142035786660e+01,3.973382703682695904e+01,1.694380528629068960e+00
2.305846248520741781e+01,4.098764330367129105e+01,1.693858804764116543e+00
-1.100076914673535988e+01,2.330292514857735497e+01,1.700396015461752341e+00
-8.880737609981496306e+00,2.456557154244060825e+01,1.700488237396300617e+00
-6.758307355753398582e+00,2.582770597017557179e+01,1.699991449027207224e+00
-4.635921759724038971e+00,2.709200706457721353e+01,1.699930679300041048e+00
-2.512735522431801538e+00,2.835456414204299946e+01,1.699340412411290524e+00
-3.871952258640544708e-01,2.961928788617543873e+01,1.699263966523103520e+00
1.736434387101141175e+00,3.087867829697455235e+01,1.697752711361814493e+00
3.863096692136808397e+00,3.213912533210069711e+01,1.697865139239635335e+00
5.990014980236626485e+00,3.340134907623313865e+01,1.696665806775816465e+00
8.119198011214445287e+00,3.465909675262215472e+01,1.697224167006442963e+00
1.024727099985263834e+01,3.591767776234451048e+01,1.695613313615415452e+00
1.237604334722794874e+01,3.717586881440651325e+01,1.695908660654753985e+00
1.450672637820577826e+01,3.843299448232760085e+01,1.695186582319385904e+00
1.663982009278612040e+01,3.968827805710148482e+01,1.694523038077627275e+00
1.877119051637278702e+01,4.094174902448419573e+01,1.693992208719805603e+00
2.090490623942107007e+01,4.219684200033483990e+01,1.693665168669083565e+00
2.303819931273853072e+01,4.345078027564710510e+01,1.693608619204646004e+00
2.517476909506231664e+01,4.470317389276061704e+01,1.692883706091168561e+00
-1.315150402531666174e+01,2.451121316163836639e+01,1.699135745939844400e+00
-1.103068381342819926e+01,2.577422558090540861e+01,1.698555064147601490e+00
-8.910440951808936916e+00,2.703774996630073701e+01,1.699402232247093414e+00
-6.787022663709135095e+00,2.829926238556777207e+01,1.698697085268467966e+00
-4.661437708942643532e+00,2.956215279636688820e+01,1.699469042669627727e+00
-2.538174121381227000e+00,3.082590923256978854e+01,1.697756575011451829e+00
-4.121784830122255383e-01,3.208535626769592142e+01,1.697606503832287617e+00
1.713162454818392355e+00,3.334542531129000054e+01,1.698073147752992007e+00
3.841068776789910544e+00,3.460669371362118341e+01,1.697217330723435502e+00
5.966442406690982914e+00,3.586597408208064763e+01,1.697105270902442342e+00
8.097003429200887226e+00,3.712637645900804984e+01,1.695807370897010502e+00
1.022547513531331020e+01,3.838222541792284659e+01,1.696396931931382968e+00
1.235761350809239900e+01,3.964071711124771724e+01,1.694948815937425524e+00
1.448788585546770946e+01,4.089664342043169398e+01,1.694538080528123380e+00
1.661981290338139772e+01,4.215152507141692695e+01,1.694238612317556347e+00
1.875318332696804902e+01,4.340666270546629590e+01,1.694121784074133386e+00
2.088702105848425461e+01,4.465847897231063968e+01,1.694255160738630472e+00
2.302225750747470201e+01,4.591153925609082620e+01,1.692701278413395904e+00
2.515542857232424367e+01,4.716535552293515821e+01,1.692516519051294965e+00
2.729046566257757078e+01,4.841511837176688005e+01,1.692750101768579762e+00
-1.317955266660572988e+01,2.698210291036390274e+01,1.699304708283158716e+00
-1.105619976264681270e+01,2.824437131269509038e+01,1.699476340084036918e+00
-8.934424208957098656e+00,2.950855039862880247e+01,1.698110687050215839e+00
-6.810473228786833033e+00,3.076898546762665276e+01,1.698232072249262536e+00
-4.686286991494601928e+00,3.203029852815657108e+01,1.697874039337793350e+00
-2.560202036728113306e+00,3.329347761409028550e+01,1.698078737627167323e+00
-4.344623814232722592e-01,3.455412400795353989e+01,1.696896146954317564e+00
1.690467872804829907e+00,3.581466035947715909e+01,1.697383156827982020e+00
3.819728254051855121e+00,3.707394072793663753e+01,1.695602517057140490e+00
5.947923251157967606e+00,3.833231041279358209e+01,1.695621679481868815e+00
8.075963547725708125e+00,3.959059078125304865e+01,1.694511552471588800e+00
1.020555726230605664e+01,4.084731773169990277e+01,1.695345191493404791e+00
1.233877298535433731e+01,4.210169938268514755e+01,1.695196450253004139e+00
1.446974469146675624e+01,4.335914641781128154e+01,1.694138617649919354e+00
1.660262708118170139e+01,4.461552806879652167e+01,1.694243066053872759e+00
1.873500947089665658e+01,4.586864497690373810e+01,1.693577936194463840e+00
2.086995724475249858e+01,4.712187192735060393e+01,1.693206883266650919e+00
2.300519369374294243e+01,4.837493221113078334e+01,1.693187907702310424e+00
2.513862074165662719e+01,4.962554911923799494e+01,1.692572292465300832e+00
2.727505654938419966e+01,5.087886538608233877e+01,1.692403666723890199e+00
2.940971564810544692e+01,5.212943763599081848e+01,1.691717213377837759e+00
-1.532488882771279215e+01,2.819023622288655062e+01,1.697813614232443369e+00
-1.320277994068973193e+01,2.945274864215359045e+01,1.698287603919351518e+00
-1.108018301979497267e+01,3.071517174502315584e+01,1.698242402692197173e+00
-8.957874774034801035e+00,3.197827348068766540e+01,1.697697236135160326e+00
-6.835099220345090210e+00,3.323805384914714267e+01,1.696680672439622839e+00
-4.710180932245278562e+00,3.449961092661292383e+01,1.697230095130739080e+00
-2.583497901267461483e+00,3.576395667921330102e+01,1.697391009967800457e+00
-4.564129465009698627e-01,3.702124901380105371e+01,1.697216198979852431e+00
1.668594657996309794e+00,3.828298472406179798e+01,1.695764737476707751e+00
3.795700338704949939e+00,3.954084244279044924e+01,1.696100892456576359e+00
5.927428027881517458e+00,4.079813477737820904e+01,1.695292923066305191e+00
8.057245033455558314e+00,4.205633779556849561e+01,1.695411805616659828e+00
1.018858276497176441e+01,4.331441880529084898e+01,1.693529907078372476e+00
1.231818844568040383e+01,4.456901178114150497e+01,1.693719631958025440e+00
1.445284754440166353e+01,4.582225069771664039e+01,1.694052067957867891e+00
1.658626262618705738e+01,4.707755499843268154e+01,1.692595655850852365e+00
1.872060035770327246e+01,4.833065994041160707e+01,1.693414908550998854e+00
